Project,Client,Title,Duration
SOS2021-22,,#1 hacer trabajo L02,00:00:18
SOS2021-22,,#10 piazza,03:01:00
SOS2021-22,,#11 API REST,03:14:00
SOS2021-22,,#13 Haber realizado una API REST tal como se explica y ejemplifica en el L06,03:12:32
SOS2021-22,,#14 Tareas Feedback F05,02:48:23
SOS2021-22,,#15 integration,02:01:00
SOS2021-22,,#16 Busquedas,02:47:35
SOS2021-22,,#17 La API debe implementar un sistema de persistencia,03:31:04
SOS2021-22,,#18 Implementar todos los casos de la tabla azul,07:34:20
SOS2021-22,,#19 Listar recursos con Svelte,05:12:02
SOS2021-22,,#2 Github,00:03:31
SOS2021-22,,#3 Extensión de Chrome Toggl Button,00:04:26
SOS2021-22,,#4 Clonar el repositorio común de la asignatura,00:01:28
SOS2021-22,,#6 Instalacion de Postman,03:06:10
SOS2021-22,,#7 Completar la ficha de trabajo a partir de la plantilla,03:20:39
SOS2021-22,,#8 Creación ruta /info/richpp,03:21:13
SOS2021-22,,#9 Colección Postman con nombre SOS2021-XX-YYYYYY,03:07:51
SOS2021-22,,Añadiendo datos a plantilla F02 #6,03:36:12
SOS2021-22,,D03 - Antonio Parra Diaz,09:34:17
,,#1 hacer trabajo L02,00:03:34
,,#12 Desplegar heroku richpp,03:29:34
,,Arreglando problemas con Angular-Chart.js,04:59:31
,,Crear milestone F02 #5,00:07:34
,,D02 - F09,29:45:32
,,D03,14:15:26
,,D03 y F12,05:21:12
,,F08,06:48:56
,,F10,24:13:08
,,,01:12:11
